# Dictionary for mapping between internal names and GRIB2 shortNames
# needed by GRIB2 read procedures.
# can be used in mamelist &io_nml for output_nml_dict if linvert_dict=T
# internal name             GRIB2 shortName
acc_wetdepo_gscp_asha       ACCWETDEPO_GSP_ASHA
acc_wetdepo_gscp_ashb       ACCWETDEPO_GSP_ASHB
acc_wetdepo_gscp_ashc       ACCWETDEPO_GSP_ASHC
acc_wetdepo_rrsfc_asha      ACCWETDEPO_RAIN_ASHA
acc_wetdepo_rrsfc_ashb      ACCWETDEPO_RAIN_ASHB
acc_wetdepo_rrsfc_ashc      ACCWETDEPO_RAIN_ASHC
aod_ash_550nm               AOD_ASH
taod_ash_550nm              TAOD_ASH
ash_total_mc                ASH_TOTAL_MC
ash_total_mc_vi             ASH_TOTAL_MC_VI
ash_max_total_mc_sfc_200    ASH_MAX_TOTAL_MC_SFC_200
ash_max_total_mc_200_350    ASH_MAX_TOTAL_MC_200_350
ash_max_total_mc_350_550    ASH_MAX_TOTAL_MC_350_550
ash_max_total_mc_sfc_100    ASH_MAX_TOTAL_MC_SFC_100
ash_max_total_mc_100_245    ASH_MAX_TOTAL_MC_100_245
ash_max_total_mc_245_390    ASH_MAX_TOTAL_MC_245_390
ash_max_total_mc_390_530    ASH_MAX_TOTAL_MC_390_530
ceil_ash_532nm              CEIL_ASH_532NM
ceil_ash_1064nm             CEIL_ASH_1064NM
sat_ash_532nm               SAT_ASH_532NM
sat_ash_1064nm              SAT_ASH_1064NM
ash_hml_max                 ASH_HML_MAX
ash_cloud_base_2000         HBAS_ASH_CLD_2000
ash_cloud_top_2000          HTOP_ASH_CLD_2000
ash_cloud_base_4000         HBAS_ASH_CLD_4000
ash_cloud_top_4000          HTOP_ASH_CLD_4000
# ICON-ART biomass burning
soot                        BCARB
soot0                       BCARB0
